year,state,state_po,state_fips,state_cen,state_ic,candidate,party_detailed,writein,candidatevotes,totalvotes,party_simplified
2020,CALIFORNIA,CA,6,93,71,"BIDEN, JOSEPH R. JR",DEMOCRAT,FALSE,11110250,17500881,DEMOCRAT
2016,CALIFORNIA,CA,6,93,71,"CLINTON, HILLARY",DEMOCRAT,FALSE,8753788,14181595,DEMOCRAT
2008,CALIFORNIA,CA,6,93,71,"OBAMA, BARACK H.",DEMOCRAT,FALSE,8274473,13561900,DEMOCRAT
2012,CALIFORNIA,CA,6,93,71,"OBAMA, BARACK H.",DEMOCRAT,FALSE,7854285,13038547,DEMOCRAT
2004,CALIFORNIA,CA,6,93,71,"KERRY, JOHN",DEMOCRAT,FALSE,6745485,12421353,DEMOCRAT
2020,CALIFORNIA,CA,6,93,71,"TRUMP, DONALD J.",REPUBLICAN,FALSE,6006429,17500881,REPUBLICAN
2020,TEXAS,TX,48,74,49,"TRUMP, DONALD J.",REPUBLICAN,FALSE,5890347,11315056,REPUBLICAN
2000,CALIFORNIA,CA,6,93,71,"GORE, AL",DEMOCRAT,FALSE,5861203,10965822,DEMOCRAT
2020,FLORIDA,FL,12,59,43,"TRUMP, DONALD J.",REPUBLICAN,FALSE,5668731,11067456,REPUBLICAN
2004,CALIFORNIA,CA,6,93,71,"BUSH, GEORGE W.",REPUBLICAN,FALSE,5509826,12421353,REPUBLICAN
1984,CALIFORNIA,CA,6,93,71,"REAGAN, RONALD",REPUBLICAN,FALSE,5467009,9505041,REPUBLICAN
2020,FLORIDA,FL,12,59,43,"BIDEN, JOSEPH R. JR",DEMOCRAT,FALSE,5297045,11067456,DEMOCRAT
2020,TEXAS,TX,48,74,49,"BIDEN, JOSEPH R. JR",DEMOCRAT,FALSE,5259126,11315056,DEMOCRAT
2020,NEW YORK,NY,36,21,13,"BIDEN, JOSEPH R. JR",DEMOCRAT,FALSE,5230985,8661735,DEMOCRAT
1992,CALIFORNIA,CA,6,93,71,"CLINTON, BILL",DEMOCRAT,FALSE,5121325,11131721,DEMOCRAT
1996,CALIFORNIA,CA,6,93,71,"CLINTON, BILL",DEMOCRAT,FALSE,5119835,10019469,DEMOCRAT
1988,CALIFORNIA,CA,6,93,71,"BUSH, GEORGE H.W.",REPUBLICAN,FALSE,5054917,9887065,REPUBLICAN
2008,CALIFORNIA,CA,6,93,71,"MCCAIN, JOHN",REPUBLICAN,FALSE,5011781,13561900,REPUBLICAN
2012,CALIFORNIA,CA,6,93,71,"ROMNEY, MITT",REPUBLICAN,FALSE,4839958,13038547,REPUBLICAN
1988,CALIFORNIA,CA,6,93,71,"DUKAKIS, MICHAEL",DEMOCRAT,FALSE,4702233,9887065,DEMOCRAT
2016,CALIFORNIA,CA,6,93,71,"TRUMP, DONALD J.",REPUBLICAN,FALSE,4483810,14181595,REPUBLICAN
2008,NEW YORK,NY,36,21,13,"OBAMA, BARACK H.",DEMOCRAT,FALSE,4645332,7722019,DEMOCRAT
2016,CALIFORNIA,CA,6,93,71,"JOHNSON, GARY",LIBERTARIAN,FALSE,478500,14181595,LIBERTARIAN
2012,TEXAS,TX,48,74,49,"ROMNEY, MITT",REPUBLICAN,FALSE,4569843,7993851,REPUBLICAN
2000,CALIFORNIA,CA,6,93,71,"BUSH, GEORGE W.",REPUBLICAN,FALSE,4567429,10965822,REPUBLICAN
2004,TEXAS,TX,48,74,49,"BUSH, GEORGE W.",REPUBLICAN,FALSE,4526917,7410749,REPUBLICAN
1980,CALIFORNIA,CA,6,93,71,"REAGAN, RONALD",REPUBLICAN,FALSE,4522994,8582938,REPUBLICAN
2016,CALIFORNIA,CA,6,93,71,"STEIN, JILL",GREEN,FALSE,278657,14181595,OTHER
2016,CALIFORNIA,CA,6,93,71,,,TRUE,120739,14181595,OTHER
2008,TEXAS,TX,48,74,49,"MCCAIN, JOHN",REPUBLICAN,FALSE,4479328,8077795,REPUBLICAN
2016,CALIFORNIA,CA,6,93,71,"LA RIVA, GLORIA ESTELLA",PEACE & FREEDOM,FALSE,66101,14181595,OTHER
2012,NEW YORK,NY,36,21,13,"OBAMA, BARACK H.",DEMOCRAT,FALSE,4324228,7116784,DEMOCRAT
2008,FLORIDA,FL,12,59,43,"OBAMA, BARACK H.",DEMOCRAT,FALSE,4282074,8390744,DEMOCRAT
2012,FLORIDA,FL,12,59,43,"OBAMA, BARACK H.",DEMOCRAT,FALSE,4237756,8474179,DEMOCRAT
2004,NEW YORK,NY,36,21,13,"KERRY, JOHN",DEMOCRAT,FALSE,4180755,7448266,DEMOCRAT
2012,FLORIDA,FL,12,59,43,"ROMNEY, MITT",REPUBLICAN,FALSE,4163447,8474179,REPUBLICAN
2008,FLORIDA,FL,12,59,43,"MCCAIN, JOHN",REPUBLICAN,FALSE,4045624,8390744,REPUBLICAN
2004,FLORIDA,FL,12,59,43,"BUSH, GEORGE W.",REPUBLICAN,FALSE,3964522,7609810,REPUBLICAN
2000,NEW YORK,NY,36,21,13,"GORE, AL",DEMOCRAT,FALSE,3942215,6960215,DEMOCRAT
1984,CALIFORNIA,CA,6,93,71,"MONDALE, WALTER",DEMOCRAT,FALSE,3922519,9505041,DEMOCRAT
1976,CALIFORNIA,CA,6,93,71,"FORD, GERALD",REPUBLICAN,FALSE,3882244,7803770,REPUBLICAN
2016,FLORIDA,FL,12,59,43,"TRUMP, DONALD J.",REPUBLICAN,FALSE,4617886,9420039,REPUBLICAN
1996,CALIFORNIA,CA,6,93,71,"DOLE, ROBERT",REPUBLICAN,FALSE,3828381,10019469,REPUBLICAN
2000,TEXAS,TX,48,74,49,"BUSH, GEORGE W.",REPUBLICAN,FALSE,3799639,6407637,REPUBLICAN
1976,CALIFORNIA,CA,6,93,71,"CARTER, JIMMY",DEMOCRAT,FALSE,3742284,7803770,DEMOCRAT
1996,NEW YORK,NY,36,21,13,"CLINTON, BILL",DEMOCRAT,FALSE,3649630,6439129,DEMOCRAT
1992,CALIFORNIA,CA,6,93,71,"BUSH, GEORGE H.W.",REPUBLICAN,FALSE,3630574,11131721,REPUBLICAN
2004,FLORIDA,FL,12,59,43,"KERRY, JOHN",DEMOCRAT,FALSE,3583544,7609810,DEMOCRAT
2008,TEXAS,TX,48,74,49,"OBAMA, BARACK H.",DEMOCRAT,FALSE,3528633,8077795,DEMOCRAT
2020,ILLINOIS,IL,17,33,21,"BIDEN, JOSEPH R. JR",DEMOCRAT,FALSE,3471915,6033743,DEMOCRAT
2020,PENNSYLVANIA,PA,42,23,14,"BIDEN, JOSEPH R. JR",DEMOCRAT,FALSE,3458229,6915283,DEMOCRAT
1984,TEXAS,TX,48,74,49,"REAGAN, RONALD",REPUBLICAN,FALSE,3433428,5397571,REPUBLICAN
2008,ILLINOIS,IL,17,33,21,"OBAMA, BARACK H.",DEMOCRAT,FALSE,3419348,5522371,DEMOCRAT
2020,PENNSYLVANIA,PA,42,23,14,"TRUMP, DONALD J.",REPUBLICAN,FALSE,3377674,6915283,REPUBLICAN
1984,NEW YORK,NY,36,21,13,"REAGAN, RONALD",REPUBLICAN,FALSE,3376519,6806810,REPUBLICAN
1992,NEW YORK,NY,36,21,13,"CLINTON, BILL",DEMOCRAT,FALSE,3346894,7079432,DEMOCRAT
2012,TEXAS,TX,48,74,49,"OBAMA, BARACK H.",DEMOCRAT,FALSE,3308124,7993851,DEMOCRAT
2008,PENNSYLVANIA,PA,42,23,14,"OBAMA, BARACK H.",DEMOCRAT,FALSE,3276363,6013272,DEMOCRAT
1988,NEW YORK,NY,36,21,13,"DUKAKIS, MICHAEL",DEMOCRAT,FALSE,3255487,6485683,DEMOCRAT
2020,NEW YORK,NY,36,21,13,"TRUMP, DONALD J.",REPUBLICAN,FALSE,3244798,8661735,REPUBLICAN
1976,NEW YORK,NY,36,21,13,"CARTER, JIMMY",DEMOCRAT,FALSE,3244165,6668262,DEMOCRAT
2020,OHIO,OH,39,31,24,"TRUMP, DONALD J.",REPUBLICAN,FALSE,3154834,5922202,REPUBLICAN
2016,FLORIDA,FL,12,59,43,"CLINTON, HILLARY",DEMOCRAT,FALSE,4504975,9420039,DEMOCRAT
1980,CALIFORNIA,CA,6,93,71,"CARTER, JIMMY",DEMOCRAT,FALSE,3082943,8582938,DEMOCRAT
1988,TEXAS,TX,48,74,49,"BUSH, GEORGE H.W.",REPUBLICAN,FALSE,3036829,5427410,REPUBLICAN
2012,ILLINOIS,IL,17,33,21,"OBAMA, BARACK H.",DEMOCRAT,FALSE,3019512,5242014,DEMOCRAT
1984,NEW YORK,NY,36,21,13,"MONDALE, WALTER",DEMOCRAT,FALSE,3001285,6806810,DEMOCRAT
2012,PENNSYLVANIA,PA,42,23,14,"OBAMA, BARACK H.",DEMOCRAT,FALSE,2990274,5742040,DEMOCRAT
2016,FLORIDA,FL,12,59,43,"JOHNSON, GARY",LIBERTARIAN,FALSE,207043,9420039,LIBERTARIAN
2008,OHIO,OH,39,31,24,"OBAMA, BARACK H.",DEMOCRAT,FALSE,2940044,5708350,DEMOCRAT
2004,PENNSYLVANIA,PA,42,23,14,"KERRY, JOHN",DEMOCRAT,FALSE,2938095,5769590,DEMOCRAT
2016,FLORIDA,FL,12,59,43,"STEIN, JILL",GREEN,FALSE,64399,9420039,OTHER
2000,FLORIDA,FL,12,59,43,"BUSH, GEORGE W.",REPUBLICAN,FALSE,2912790,5963110,REPUBLICAN
2000,FLORIDA,FL,12,59,43,"GORE, AL",DEMOCRAT,FALSE,2912253,5963110,DEMOCRAT
2004,ILLINOIS,IL,17,33,21,"KERRY, JOHN",DEMOCRAT,FALSE,2891550,5274322,DEMOCRAT
2008,MICHIGAN,MI,26,34,23,"OBAMA, BARACK H.",DEMOCRAT,FALSE,2872579,5001596,DEMOCRAT
2004,OHIO,OH,39,31,24,"BUSH, GEORGE W.",REPUBLICAN,FALSE,2859764,5627903,REPUBLICAN
2016,FLORIDA,FL,12,59,43,"CASTLE, DARRELL L.",CONSTITUTION PARTY,FALSE,16475,9420039,OTHER
1988,NEW YORK,NY,36,21,13,"BUSH, GEORGE H.W.",REPUBLICAN,FALSE,2838414,6485683,REPUBLICAN
2004,TEXAS,TX,48,74,49,"KERRY, JOHN",DEMOCRAT,FALSE,2832704,7410749,DEMOCRAT
2012,OHIO,OH,39,31,24,"OBAMA, BARACK H.",DEMOCRAT,FALSE,2827621,5580822,DEMOCRAT
1976,NEW YORK,NY,36,21,13,"FORD, GERALD",REPUBLICAN,FALSE,2825913,6668262,REPUBLICAN
2004,NEW YORK,NY,36,21,13,"BUSH, GEORGE W.",REPUBLICAN,FALSE,2806993,7448266,REPUBLICAN
2020,MICHIGAN,MI,26,34,23,"BIDEN, JOSEPH R. JR",DEMOCRAT,FALSE,2804040,5539302,DEMOCRAT
2004,PENNSYLVANIA,PA,42,23,14,"BUSH, GEORGE W.",REPUBLICAN,FALSE,2793847,5769590,REPUBLICAN
2020,NORTH CAROLINA,NC,37,56,47,"TRUMP, DONALD J.",REPUBLICAN,FALSE,2758773,5524802,REPUBLICAN
2004,OHIO,OH,39,31,24,"KERRY, JOHN",DEMOCRAT,FALSE,2741165,5627903,DEMOCRAT
1996,TEXAS,TX,48,74,49,"DOLE, ROBERT",REPUBLICAN,FALSE,2736167,5611644,REPUBLICAN
1984,FLORIDA,FL,12,59,43,"REAGAN, RONALD",REPUBLICAN,FALSE,2730350,4180051,REPUBLICAN
1980,NEW YORK,NY,36,21,13,"CARTER, JIMMY",DEMOCRAT,FALSE,2728372,6201959,DEMOCRAT
1984,ILLINOIS,IL,17,33,21,"REAGAN, RONALD",REPUBLICAN,FALSE,2707103,4819088,REPUBLICAN
2020,NORTH CAROLINA,NC,37,56,47,"BIDEN, JOSEPH R. JR",DEMOCRAT,FALSE,2684292,5524802,DEMOCRAT
2012,PENNSYLVANIA,PA,42,23,14,"ROMNEY, MITT",REPUBLICAN,FALSE,2680434,5742040,REPUBLICAN
2020,OHIO,OH,39,31,24,"BIDEN, JOSEPH R. JR",DEMOCRAT,FALSE,2679165,5922202,DEMOCRAT
1984,OHIO,OH,39,31,24,"REAGAN, RONALD",REPUBLICAN,FALSE,2678559,4563235,REPUBLICAN
2008,OHIO,OH,39,31,24,"MCCAIN, JOHN",REPUBLICAN,FALSE,2677820,5708350,REPUBLICAN
2012,OHIO,OH,39,31,24,"ROMNEY, MITT",REPUBLICAN,FALSE,2661407,5580822,REPUBLICAN
2008,PENNSYLVANIA,PA,42,23,14,"MCCAIN, JOHN",REPUBLICAN,FALSE,2655885,6013272,REPUBLICAN
2020,MICHIGAN,MI,26,34,23,"TRUMP, DONALD J.",REPUBLICAN,FALSE,2649852,5539302,REPUBLICAN
1980,NEW YORK,NY,36,21,13,"REAGAN, RONALD",REPUBLICAN,FALSE,2637700,6201959,REPUBLICAN
1988,FLORIDA,FL,12,59,43,"BUSH, GEORGE H.W.",REPUBLICAN,FALSE,2618885,4302313,REPUBLICAN
2020,NEW JERSEY,NJ,34,22,12,"BIDEN, JOSEPH R. JR",DEMOCRAT,FALSE,2608335,4549353,DEMOCRAT
2000,ILLINOIS,IL,17,33,21,"GORE, AL",DEMOCRAT,FALSE,2589026,4742108,DEMOCRAT
1984,PENNSYLVANIA,PA,42,23,14,"REAGAN, RONALD",REPUBLICAN,FALSE,2584323,4844903,REPUBLICAN
2012,MICHIGAN,MI,26,34,23,"OBAMA, BARACK H.",DEMOCRAT,FALSE,2564569,4730961,DEMOCRAT
1996,FLORIDA,FL,12,59,43,"CLINTON, BILL",DEMOCRAT,FALSE,2546870,5303154,DEMOCRAT
2016,FLORIDA,FL,12,59,43,"DE LA FUENTE, ROQUE """"ROCKY""""",REFORM PARTY,FALSE,9108,9420039,OTHER
1980,TEXAS,TX,48,74,49,"REAGAN, RONALD",REPUBLICAN,FALSE,2510705,4541636,REPUBLICAN
1992,TEXAS,TX,48,74,49,"BUSH, GEORGE H.W.",REPUBLICAN,FALSE,2496071,6154018,REPUBLICAN
2000,PENNSYLVANIA,PA,42,23,14,"GORE, AL",DEMOCRAT,FALSE,2485967,4912185,DEMOCRAT
2004,MICHIGAN,MI,26,34,23,"KERRY, JOHN",DEMOCRAT,FALSE,2479183,4839252,DEMOCRAT
2020,GEORGIA,GA,13,58,44,"BIDEN, JOSEPH R. JR",DEMOCRAT,FALSE,2473633,4999960,DEMOCRAT
2020,GEORGIA,GA,13,58,44,"TRUMP, DONALD J.",REPUBLICAN,FALSE,2461854,4999960,REPUBLICAN
1996,TEXAS,TX,48,74,49,"CLINTON, BILL",DEMOCRAT,FALSE,2459683,5611644,DEMOCRAT
1992,ILLINOIS,IL,17,33,21,"CLINTON, BILL",DEMOCRAT,FALSE,2453350,5050157,DEMOCRAT
2020,ILLINOIS,IL,17,33,21,"TRUMP, DONALD J.",REPUBLICAN,FALSE,2446891,6033743,REPUBLICAN
2000,TEXAS,TX,48,74,49,"GORE, AL",DEMOCRAT,FALSE,2433746,6407637,DEMOCRAT
2008,NEW YORK,NY,36,21,13,"MCCAIN, JOHN",REPUBLICAN,FALSE,2418323,7722019,REPUBLICAN
1988,OHIO,OH,39,31,24,"BUSH, GEORGE H.W.",REPUBLICAN,FALSE,2416549,4393585,REPUBLICAN
2020,VIRGINIA,VA,51,54,40,"BIDEN, JOSEPH R. JR",DEMOCRAT,FALSE,2413568,4460524,DEMOCRAT
2016,FLORIDA,FL,12,59,43,,,TRUE,153,9420039,OTHER
2020,MASSACHUSETTS,MA,25,14,3,"BIDEN, JOSEPH R. JR",DEMOCRAT,FALSE,2382202,3658005,DEMOCRAT
2020,WASHINGTON,WA,53,91,73,"BIDEN, JOSEPH R. JR",DEMOCRAT,FALSE,2369612,4087631,DEMOCRAT
1976,ILLINOIS,IL,17,33,21,"FORD, GERALD",REPUBLICAN,FALSE,2364269,4721282,REPUBLICAN
2016,TEXAS,TX,48,74,49,"TRUMP, DONALD J.",REPUBLICAN,FALSE,4685047,8969226,REPUBLICAN
1980,ILLINOIS,IL,17,33,21,"REAGAN, RONALD",REPUBLICAN,FALSE,2358049,4749721,REPUBLICAN
1988,TEXAS,TX,48,74,49,"DUKAKIS, MICHAEL",DEMOCRAT,FALSE,2352748,5427410,DEMOCRAT
2000,OHIO,OH,39,31,24,"BUSH, GEORGE W.",REPUBLICAN,FALSE,2350363,4701998,REPUBLICAN
2004,ILLINOIS,IL,17,33,21,"BUSH, GEORGE W.",REPUBLICAN,FALSE,2345946,5274322,REPUBLICAN
1996,ILLINOIS,IL,17,33,21,"CLINTON, BILL",DEMOCRAT,FALSE,2341744,4311391,DEMOCRAT
1976,PENNSYLVANIA,PA,42,23,14,"CARTER, JIMMY",DEMOCRAT,FALSE,2328677,4620787,DEMOCRAT
2004,MICHIGAN,MI,26,34,23,"BUSH, GEORGE W.",REPUBLICAN,FALSE,2313746,4839252,REPUBLICAN
1988,ILLINOIS,IL,17,33,21,"BUSH, GEORGE H.W.",REPUBLICAN,FALSE,2310939,4559120,REPUBLICAN
1988,PENNSYLVANIA,PA,42,23,14,"BUSH, GEORGE H.W.",REPUBLICAN,FALSE,2300087,4536251,REPUBLICAN
1992,CALIFORNIA,CA,6,93,71,"PEROT, ROSS",INDEPENDENT,FALSE,2296006,11131721,OTHER
1992,TEXAS,TX,48,74,49,"CLINTON, BILL",DEMOCRAT,FALSE,2281815,6154018,DEMOCRAT
2000,PENNSYLVANIA,PA,42,23,14,"BUSH, GEORGE W.",REPUBLICAN,FALSE,2281127,4912185,REPUBLICAN
2016,TEXAS,TX,48,74,49,"CLINTON, HILLARY",DEMOCRAT,FALSE,3877868,8969226,DEMOCRAT
1976,ILLINOIS,IL,17,33,21,"CARTER, JIMMY",DEMOCRAT,FALSE,2271295,4721282,DEMOCRAT
2012,NORTH CAROLINA,NC,37,56,47,"ROMNEY, MITT",REPUBLICAN,FALSE,2270395,4505372,REPUBLICAN
2016,TEXAS,TX,48,74,49,"JOHNSON, GARY",LIBERTARIAN,FALSE,283492,8969226,LIBERTARIAN
1980,PENNSYLVANIA,PA,42,23,14,"REAGAN, RONALD",REPUBLICAN,FALSE,2261872,4561501,REPUBLICAN
2000,NEW YORK,NY,36,21,13,"BUSH, GEORGE W.",REPUBLICAN,FALSE,2258577,6960215,REPUBLICAN
1984,MICHIGAN,MI,26,34,23,"REAGAN, RONALD",REPUBLICAN,FALSE,2251571,3801658,REPUBLICAN
1996,FLORIDA,FL,12,59,43,"DOLE, ROBERT",REPUBLICAN,FALSE,2244536,5303154,REPUBLICAN
1992,PENNSYLVANIA,PA,42,23,14,"CLINTON, BILL",DEMOCRAT,FALSE,2239164,4959810,DEMOCRAT
1984,PENNSYLVANIA,PA,42,23,14,"MONDALE, WALTER",DEMOCRAT,FALSE,2228131,4844903,DEMOCRAT
2012,NEW YORK,NY,36,21,13,"ROMNEY, MITT",REPUBLICAN,FALSE,2223397,7116784,REPUBLICAN
1988,ILLINOIS,IL,17,33,21,"DUKAKIS, MICHAEL",DEMOCRAT,FALSE,2215940,4559120,DEMOCRAT
1996,PENNSYLVANIA,PA,42,23,14,"CLINTON, BILL",DEMOCRAT,FALSE,2215819,4501307,DEMOCRAT
2008,NEW JERSEY,NJ,34,22,12,"OBAMA, BARACK H.",DEMOCRAT,FALSE,2215422,3868237,DEMOCRAT
1980,OHIO,OH,39,31,24,"REAGAN, RONALD",REPUBLICAN,FALSE,2206545,4283603,REPUBLICAN
1976,PENNSYLVANIA,PA,42,23,14,"FORD, GERALD",REPUBLICAN,FALSE,2205604,4620787,REPUBLICAN
1988,PENNSYLVANIA,PA,42,23,14,"DUKAKIS, MICHAEL",DEMOCRAT,FALSE,2194944,4536251,DEMOCRAT
2016,TEXAS,TX,48,74,49,"STEIN, JILL",GREEN,FALSE,71558,8969226,OTHER
2000,OHIO,OH,39,31,24,"GORE, AL",DEMOCRAT,FALSE,2183628,4701998,DEMOCRAT
2012,NORTH CAROLINA,NC,37,56,47,"OBAMA, BARACK H.",DEMOCRAT,FALSE,2178391,4505372,DEMOCRAT
1992,FLORIDA,FL,12,59,43,"BUSH, GEORGE H.W.",REPUBLICAN,FALSE,2173310,5313392,REPUBLICAN
2000,MICHIGAN,MI,26,34,23,"GORE, AL",DEMOCRAT,FALSE,2170418,4232501,DEMOCRAT
2016,TEXAS,TX,48,74,49,,,TRUE,51261,8969226,OTHER
1996,OHIO,OH,39,31,24,"CLINTON, BILL",DEMOCRAT,FALSE,2148222,4534434,DEMOCRAT
2016,NEW YORK,NY,36,21,13,"CLINTON, HILLARY",DEMOCRAT,FALSE,4379789,7802084,DEMOCRAT
2008,NORTH CAROLINA,NC,37,56,47,"OBAMA, BARACK H.",DEMOCRAT,FALSE,2142651,4310851,DEMOCRAT
2012,ILLINOIS,IL,17,33,21,"ROMNEY, MITT",REPUBLICAN,FALSE,2135216,5242014,REPUBLICAN
2008,NORTH CAROLINA,NC,37,56,47,"MCCAIN, JOHN",REPUBLICAN,FALSE,2128474,4310851,REPUBLICAN
2012,NEW JERSEY,NJ,34,22,12,"OBAMA, BARACK H.",DEMOCRAT,FALSE,2122786,3638499,DEMOCRAT
2012,MICHIGAN,MI,26,34,23,"ROMNEY, MITT",REPUBLICAN,FALSE,2115256,4730961,REPUBLICAN
2016,NEW YORK,NY,36,21,13,"TRUMP, DONALD J.",REPUBLICAN,FALSE,2527142,7802084,REPUBLICAN
1984,ILLINOIS,IL,17,33,21,"MONDALE, WALTER",DEMOCRAT,FALSE,2086499,4819088,DEMOCRAT
1976,TEXAS,TX,48,74,49,"CARTER, JIMMY",DEMOCRAT,FALSE,2082319,4071884,DEMOCRAT
2012,GEORGIA,GA,13,58,44,"ROMNEY, MITT",REPUBLICAN,FALSE,2078688,3897839,REPUBLICAN
1992,FLORIDA,FL,12,59,43,"CLINTON, BILL",DEMOCRAT,FALSE,2071698,5313392,DEMOCRAT
2008,GEORGIA,GA,13,58,44,"MCCAIN, JOHN",REPUBLICAN,FALSE,2048759,3924486,REPUBLICAN
2008,MICHIGAN,MI,26,34,23,"MCCAIN, JOHN",REPUBLICAN,FALSE,2048639,5001596,REPUBLICAN
1980,FLORIDA,FL,12,59,43,"REAGAN, RONALD",REPUBLICAN,FALSE,2046951,3686927,REPUBLICAN
1992,NEW YORK,NY,36,21,13,"BUSH, GEORGE H.W.",REPUBLICAN,FALSE,2041690,7079432,REPUBLICAN
2008,ILLINOIS,IL,17,33,21,"MCCAIN, JOHN",REPUBLICAN,FALSE,2031179,5522371,REPUBLICAN
2000,ILLINOIS,IL,17,33,21,"BUSH, GEORGE W.",REPUBLICAN,FALSE,2019421,4742108,REPUBLICAN
1976,OHIO,OH,39,31,24,"CARTER, JIMMY",DEMOCRAT,FALSE,2009959,4110456,DEMOCRAT
1976,OHIO,OH,39,31,24,"FORD, GERALD",REPUBLICAN,FALSE,2000626,4110456,REPUBLICAN
2016,NEW YORK,NY,36,21,13,"TRUMP, DONALD J.",CONSERVATIVE,FALSE,292392,7802084,OTHER
1996,MICHIGAN,MI,26,34,23,"CLINTON, BILL",DEMOCRAT,FALSE,1989653,3848844,DEMOCRAT
2020,MARYLAND,MD,24,52,52,"BIDEN, JOSEPH R. JR",DEMOCRAT,FALSE,1985023,3037030,DEMOCRAT
1992,OHIO,OH,39,31,24,"CLINTON, BILL",DEMOCRAT,FALSE,1984942,4939967,DEMOCRAT
2016,NEW YORK,NY,36,21,13,"CLINTON, HILLARY",WORKING FAMILIES,FALSE,140041,7802084,OTHER
1980,ILLINOIS,IL,17,33,21,"CARTER, JIMMY",DEMOCRAT,FALSE,1981413,4749721,DEMOCRAT
2012,VIRGINIA,VA,51,54,40,"OBAMA, BARACK H.",DEMOCRAT,FALSE,1971820,3854489,DEMOCRAT
1988,MICHIGAN,MI,26,34,23,"BUSH, GEORGE H.W.",REPUBLICAN,FALSE,1965486,3669163,REPUBLICAN
2020,VIRGINIA,VA,51,54,40,"TRUMP, DONALD J.",REPUBLICAN,FALSE,1962430,4460524,REPUBLICAN
2004,NORTH CAROLINA,NC,37,56,47,"BUSH, GEORGE W.",REPUBLICAN,FALSE,1961166,3501007,REPUBLICAN
2008,VIRGINIA,VA,51,54,40,"OBAMA, BARACK H.",DEMOCRAT,FALSE,1959532,3723260,DEMOCRAT
1976,TEXAS,TX,48,74,49,"FORD, GERALD",REPUBLICAN,FALSE,1953300,4071884,REPUBLICAN
2000,MICHIGAN,MI,26,34,23,"BUSH, GEORGE W.",REPUBLICAN,FALSE,1953139,4232501,REPUBLICAN
1984,TEXAS,TX,48,74,49,"MONDALE, WALTER",DEMOCRAT,FALSE,1949276,5397571,DEMOCRAT
1988,OHIO,OH,39,31,24,"DUKAKIS, MICHAEL",DEMOCRAT,FALSE,1939629,4393585,DEMOCRAT
1980,PENNSYLVANIA,PA,42,23,14,"CARTER, JIMMY",DEMOCRAT,FALSE,1937540,4561501,DEMOCRAT
1984,NEW JERSEY,NJ,34,22,12,"REAGAN, RONALD",REPUBLICAN,FALSE,1933630,3217862,REPUBLICAN
2012,MASSACHUSETTS,MA,25,14,3,"OBAMA, BARACK H.",DEMOCRAT,FALSE,1921290,3184196,DEMOCRAT
1980,MICHIGAN,MI,26,34,23,"REAGAN, RONALD",REPUBLICAN,FALSE,1915225,3909725,REPUBLICAN
2004,GEORGIA,GA,13,58,44,"BUSH, GEORGE W.",REPUBLICAN,FALSE,1914254,3301875,REPUBLICAN
2004,NEW JERSEY,NJ,34,22,12,"KERRY, JOHN",DEMOCRAT,FALSE,1911430,3611691,DEMOCRAT
2008,MASSACHUSETTS,MA,25,14,3,"OBAMA, BARACK H.",DEMOCRAT,FALSE,1904097,3102995,DEMOCRAT
1992,OHIO,OH,39,31,24,"BUSH, GEORGE H.W.",REPUBLICAN,FALSE,1894310,4939967,REPUBLICAN
1976,MICHIGAN,MI,26,34,23,"FORD, GERALD",REPUBLICAN,FALSE,1893742,3651590,REPUBLICAN
2020,NEW JERSEY,NJ,34,22,12,"TRUMP, DONALD J.",REPUBLICAN,FALSE,1883274,4549353,REPUBLICAN
1980,TEXAS,TX,48,74,49,"CARTER, JIMMY",DEMOCRAT,FALSE,1881147,4541636,DEMOCRAT
2016,NEW YORK,NY,36,21,13,"JOHNSON, GARY",INDEPENDENCE,FALSE,119156,7802084,OTHER
1992,MICHIGAN,MI,26,34,23,"CLINTON, BILL",DEMOCRAT,FALSE,1871182,4274673,DEMOCRAT
1996,OHIO,OH,39,31,24,"DOLE, ROBERT",REPUBLICAN,FALSE,1859883,4534434,REPUBLICAN
2020,TENNESSEE,TN,47,62,54,"TRUMP, DONALD J.",REPUBLICAN,FALSE,1852475,3053851,REPUBLICAN
2008,GEORGIA,GA,13,58,44,"OBAMA, BARACK H.",DEMOCRAT,FALSE,1844123,3924486,DEMOCRAT
1984,OHIO,OH,39,31,24,"MONDALE, WALTER",DEMOCRAT,FALSE,1825440,4563235,DEMOCRAT
2012,VIRGINIA,VA,51,54,40,"ROMNEY, MITT",REPUBLICAN,FALSE,1822522,3854489,REPUBLICAN
2020,COLORADO,CO,8,84,62,"BIDEN, JOSEPH R. JR",DEMOCRAT,FALSE,1804352,3279980,DEMOCRAT
2004,MASSACHUSETTS,MA,25,14,3,"KERRY, JOHN",DEMOCRAT,FALSE,1803800,2927455,DEMOCRAT
1996,PENNSYLVANIA,PA,42,23,14,"DOLE, ROBERT",REPUBLICAN,FALSE,1801169,4501307,REPUBLICAN
1992,PENNSYLVANIA,PA,42,23,14,"BUSH, GEORGE H.W.",REPUBLICAN,FALSE,1791841,4959810,REPUBLICAN
2000,NEW JERSEY,NJ,34,22,12,"GORE, AL",DEMOCRAT,FALSE,1788850,3187226,DEMOCRAT
2012,GEORGIA,GA,13,58,44,"OBAMA, BARACK H.",DEMOCRAT,FALSE,1773827,3897839,DEMOCRAT
